municipio,denominacao_serventia,endereco,telefone,municipios_circunscritos
Oeiras,3ª SERVENTIA EXTRAJUDICIAL DE OEIRAS,"Rua Miguel Oliveira, nº 119, CEP 64.000-500 Centro",(89) 3462-1413 / (89) 99431-6506,"Oeiras, Cajazeiras do Piauí, Santa Rosa do Piauí, Colônia do Piauí, São João da Varjota"
Cristalândia do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CRISTALÂNDIA DO PIAUÍ,"Avenida Tancredo Neves, s/n, CEP 64.995-000 Nova República",(89) 3576-1266,Cristalândia do Piauí
Parnaíba,"4ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS, REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS E REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE PARNAÍBA - 2ª ZONA","Rua Duque de Caxias, nº 768, CEP 64.200-215 Centro",(86) 3322-2532,Parnaíba
Paes Landim,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PAES LANDIM,"Travessa São Jose, s/n, CEP 64.710-000 Centro",(89) 99425-1211 / (89) 99984-5659 / (89) 99410-3998 / (89) 99436-7840 / (89) 99418-7672,Paes Landim
Domingos Mourão,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE DOMINGOS MOURÃO,"Rua Deputado Milton Brandão, nº 194, CEP 64.250-000 Centro",(86) 99488-1554 / (86) 98118-7788,Domingos Mourão
Santo Antônio de Lisboa,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SANTO ANTÔNIO DE LISBOA,"Avenida Sete de Setembro, s/n, CEP 64.640-000 Centro",(89) 99406-8832 / (89) 98106-6485,Santo Antônio de Lisboa
Pimenteiras,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PIMENTEIRAS,"Rua Vinte e Cinco de Julho, nº 135, CEP 64.320-000 Centro",(89) 3474-1380,"Pimenteiras, Lagoa do Sítio"
Paulistana,2ª SERVENTIA EXTRAJUDICIAL DE PAULISTANA,"Avenida Miguel Arcanjo Cavalcante, nº 162, CEP 64.750-000 Centro",(89) 3487-1718 / (89) 99455-1044,"Paulistana, Acauã, Betânia do Piauí, Jacobina do Piauí, Queimada Nova"
Pedro II,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE PEDRO II,"Rua Domingos Mourão Filho, nº 188, CEP 64.255-000 Centro",(86) 3271-2910 / (86) 99411-1671,"Pedro II, Lagoa de São Francisco, Milton Brandão"
Curimatá,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CURIMATÁ,"Avenida Telésforo Guerra, sn,  CEP 64.960-000 Centro",(89) 98102 9294,"Curimatá, Júlio Borges"
Porto,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PORTO,"Avenida Dirceu Arcoverde, 813, CEP 64.145-000 Centro",(86) 98843-1457,"Porto, Campo Largo do Piauí"
Valença do Piauí,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE VALENÇA DO PIAUÍ,,,
Ribeiro Gonçalves,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE RIBEIRO GONÇALVES,"Rua Duque de Caxias, nº 395, CEP 64.865-000 Centro",(89) 3567-1224 / (89) 99981-6201,"Ribeiro Gonçalves, Baixa Grande do Ribeiro"
Picos,"1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS, REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS E REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE PICOS  - 1ª ZONA","Rua São José, nº 75, Térreo, CEP 64.600-008 Centro",(89) 2222-0340 / (61) 98206-2192,"Picos, Aroeiras do Itaim, Geminiano, Paquetá"
Simplício Mendes,1ª SERVENTIA EXTRAJUDICIAL DE SIMPLÍCIO MENDES,"Rua Professor José de Atanásio, nº 862, CEP 64.700-000 Centro",(89) 99934-9226,"Simplício Mendes, Bela Vista do Piauí"
Oeiras,4ª SERVENTIA EXTRAJUDICIAL DE OEIRAS,"Rua Miguel Oliveira, nº 286, CEP 64.500-000 Centro",(89) 98817-3709 /  (89) 99912-9709,"Oeiras, Cajazeiras do Piauí, Santa Rosa do Piauí, Colônia do Piauí, São João da Varjota"
São Francisco do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO FRANCISCO DO PIAUÍ,"Rua Laurentino Pereira, s/n, CEP 64.550-000 Centro",(89) 3558-1113/ (89) 9433-9333,"São Francisco do Piauí, São José do Peixe"
Simplício Mendes,2ª SERVENTIA EXTRAJUDICIAL DE SIMPLÍCIO MENDES,"Rua Arnaldo Ferreira de Carvalho nº 686, CEP 64.700-000 Centro",(89) 99984-5659,"Simplício Mendes, Bela Vista do Piauí"
Uruçuí,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE URUÇUÍ,"Rua Almir Bemvindo, nº 105, Edifício Novo Uruçuí, CEP 64.860-000 Malvinas",(89) 3544-1678,Uruçuí
Oeiras,1ª SERVENTIA EXTRAJUDICIAL DE OEIRAS,"Rua Padre Freitas, nº 12, CEP 64.500-000 Centro",(89) 3462-1537,"Oeiras, Cajazeiras do Piauí, Santa Rosa do Piauí, Colônia do Piauí, São João da Varjota"
Luís Correia,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE LUÍS CORREIA,"Rua Jonas Correia, nº 621, CEP 64.220-000 Centro",3367-1100,"Luís Correia, Cajueiro da Praia"
Alto Longá,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ALTO LONGÁ,"Rua Benedito Brito, nº 352, Centro, CEP: 64.360-000 Centro",86981147510,"Alto Longá, Novo Santo Antônio"
Barro Duro,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE BARRO DURO,"Rua João Pinheiro, nº 188, CEP 64.455-000 Centro",(86) 3284-1556 / (86) 99995-8664,"Barro Duro, Passagem Franca do Piauí, Olho D'Água do Piauí"
Paquetá,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PAQUETÁ,,,
Teresina,SDT - Serviço de Distribuição de Títulos e outros Documentos de Dívida para Protesto de Teresina,"Rua Coelho Rodrigues, nº 1999, Edifício Di Cavalcanti, 3º andar, sala 313, CEP 64000-080 Centro",(86) 3221-2604 / 3223-0628 / 99432-6767,
Ilha Grande,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ILHA GRANDE,,,
Pau d'Arco do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PAU D'ARCO DO PIAUÍ,"Avenida Otília Maria de Paiva, 472, CEP 64.295-000 Centro",,Pau D'arco do Piauí
Marcolândia,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE MARCOLÂNDIA,"Avenida Corinto Matos, nº. 261, CEP.: 64.685-000 Centro",(89) 99467-2714,"Marcolândia, Caldeirão Grande do Piauí"
